ID,chap,sp,trat,orient,pend,sol,Solvege,dom,alt0,a10,a20,vol0,frutos0,t0,t0pond,fustes0n,tocon0,sup1,frutos1,alt1,a11,a21,vol2,t1,sup2,frutos2,alt2,a12,a22,vol2,t2,sup3,frutos3,alt3,a13,a23,vol3,t3,sup4,frutos4,alt4,a14,a24,vol4,t4,sup5,frutos5,alt5,a15,a25,vol5,t5,nfustes5
41,48,ang,b,193,35,133,5,dom,300,430,260,33540000,594,1.50,3.00,8,24,1,0,158,123,115,2234910,NA,1,13,261,251,245,16050195,1.67,1,0,178,175,160,4984000,NA,1,0,280,230,292,18804800,2.40,1,0,137,144,129,2544912,NA,21
42,49,ata,c,190,24,135,0,dom,240,196,360,16934400,461,2.00,4.00,1,14,1,0,150,107,156,2503800,NA,1,0,254,163,174,7203948,NA,1,0,259,253,282,18478614,NA,1,780,280,280,300,23520000,2.08,1,0,110,148,138,2246640,NA,9
43,50,ata,a,179,28,137,30,sub,360,180,215,13932000,430,0.50,0.50,1,22,1,0,90,94,102,862920,0.35,1,0,168,118,128,2537472,0.62,1,0,163,100,122,1988600,0.43,1,0,146,92,102,1370064,0.65,1,0,144,80,72,829440,1.20,4
44,51,ang,c,178,34,138,35,sub,517,527,460,125331140,1025,5.00,10.00,36,22,1,0,230,170,162,6334200,NA,1,18,364,302,300,32978400,NA,1,1400,392,166,500,32536000,NA,1,480,470,550,490,126665000,15.65,1,0,170,176,170,5086400,NA,37
45,52,ang,b,174,30,118,25,sub,370,450,230,38295000,626,3.00,6.00,1,13,1,0,181,182,133,4381286,NA,1,0,280,230,223,14361200,1.52,1,0,165,126,115,2390850,NA,1,0,272,232,238,15018752,2.13,1,0,140,122,106,1810480,NA,11
46,53,ata,a,178,30,116,35,sub,540,850,710,325890000,1571,4.00,8.00,4,30,1,0,212,190,183,7371240,2.97,1,0,160,140,159,3561600,1.00,1,0,158,110,108,1877040,1.12,1,0,130,100,120,1560000,0.32,1,0,84,101,90,763560,0.17,6
47,54,ata,b,180,35,105,25,sub,290,480,320,44544000,665,2.00,4.00,2,17,1,0,130,86,75,838500,NA,1,0,290,179,200,10382000,0.33,1,0,185,108,87,1738260,NA,1,0,356,166,120,7091520,0.35,1,0,160,145,90,2088000,NA,7
48,55,ata,c,178,28,120,30,sub,380,325,190,23465000,519,0.50,1.00,1,13,1,0,132,73,90,867240,NA,1,0,241,186,216,9682416,NA,1,0,330,300,360,35640000,NA,1,240,350,370,320,41440000,1.22,1,0,176,153,134,3608352,NA,12
49,56,ang,a,179,52,114,45,sub,380,470,550,98230000,923,1.50,3.00,6,20,1,0,150,97,94,1367700,0.68,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
50,57,ang,c,200,30,117,40,sub,380,360,280,38304000,626,0.50,1.00,4,24,1,0,214,103,113,2490746,NA,1,0,312,163,196,9967776,NA,1,0,310,273,280,23696400,NA,1,250,417,317,207,27363123,0.77,1,0,210,120,103,2595600,NA,12
51,58,ata,b,198,35,111,35,sub,280,155,160,6944000,343,0.50,0.50,1,10,1,0,149,55,40,327800,NA,1,0,258,93,72,1727568,0.30,1,0,163,67,97,1059337,NA,1,0,270,140,125,4725000,0.37,1,0,152,80,90,1094400,NA,3
52,59,ata,a,198,35,111,30,sub,350,165,260,15015000,442,0.50,1.00,1,16,1,0,121,72,120,1045440,0.20,1,0,66,101,53,353298,0.12,1,0,119,94,57,637602,0.13,1,0,46,41,44,82984,0.47,0,NA,NA,NA,NA,NA,NA,NA
53,60,ang,b,201,32,134,30,sub,500,200,160,16000000,452,0.50,1.00,2,18,1,0,160,40,86,550400,NA,1,0,215,160,153,5263200,0.35,1,0,183,92,177,2979972,NA,1,0,285,220,290,18183000,0.43,1,0,160,73,60,700800,NA,6
54,61,ang,a,195,44,137,20,sub,290,180,170,8874000,370,0.50,0.50,2,12,1,0,149,53,56,442232,0.38,1,0,132,60,47,372240,0.18,1,0,68,73,63,312732,0.30,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
55,62,ata,c,180,30,115,40,sub,495,310,210,32224500,585,0.50,1.00,3,12,1,0,185,83,85,1305175,NA,1,0,337,165,185,10286925,NA,1,0,430,232,305,30426800,NA,1,770,440,260,260,29744000,0.95,1,0,170,116,116,2287520,NA,9
56,63,ang,b,180,38,138,35,sub,620,660,410,167772000,1165,3.00,6.00,48,10,1,0,207,136,144,4053888,NA,1,0,290,265,277,21287450,3.83,1,0,174,137,130,3098940,NA,1,0,234,234,250,13689000,2.60,1,0,144,66,50,475200,NA,10
57,64,ang,c,183,32,125,15,sub,395,380,240,36024000,611,2.00,4.00,7,18,1,0,202,128,128,3309568,NA,1,0,271,203,256,14083328,NA,1,0,250,350,275,24062500,NA,1,60,330,330,260,28314000,7.77,1,0,192,135,126,3265920,NA,7
58,65,ang,b,172,42,129,20,dom,460,710,590,192694000,1239,3.00,6.00,39,26,1,0,256,244,184,11493376,NA,1,0,409,340,324,45055440,6.55,1,0,206,224,207,9551808,NA,1,0,320,320,330,33792000,3.73,1,0,166,120,170,3386400,NA,16
59,66,ata,c,176,40,130,20,sub,359,290,280,29150800,563,0.50,1.00,1,12,1,0,156,69,65,699660,NA,1,0,216,160,134,4631040,NA,1,0,346,230,284,22600720,NA,1,400,400,400,350,56000000,1.23,1,0,183,105,100,1921500,NA,8
